ride_review,ride_rating,sentiment
time extremely satisfied pet gripes no flat rate airport taxis limos from jfk got stuck midtown tunnel fare time distance almost twice flat taxi fare the driver profile indicate fastrak transponder coming lax dtla two occasions stuck traffic driver fastrak use express lanes when driver accepts request snapshot description name make car license etc also can use fastrak express lanes know reject pickup driver lack fastrak another solution option profile preferences accept drivers drivers often know city relying much gps unaware surroundings taxi drivers seem know popular destinations way get depending conditions whereas uber drivers usually like little automatons staring gps unaware waze sending us unnecessary detour recently ride broad museum downtown la home miles away the driver never heard gps told bunker hill next walt disney concert hall the music center near county courthouse never heard those iconic landmarks nobody allowed drive uber know fundamental layout city landmarks the uber app iphone hogs much memory limited storage capacity phone review remove items the uber app one biggest apps removed by comparison lyft app,3.0,1
i file class action suit uber use service get billed my card taken used this company checking identification match cards used service purchases this company drivers allowing minors ride without permission using unauthorized debit credit cards there direct contact number resolve issues unless create uber account has happened anyone else,1.0,0
if give stars uber stole money made unauthorized charges credit card on top even taking responsibility continuously keep marking issue resolved even though proof bank statements there phone number place go therefore taking advantage there random charges credit card total use uber app weeks when asked explain charges say know ignore mark resolved also recently wait hours food delivered ubereats called ubereats complained said give refund know they give either already called ubereats times keep saying process never end as soon find lawyer suing uber lying making unauthorized charges credit card it illegal federal crime steal money,1.0,0
i driven kcvg leave rental car having used uber oh let say half dozen time life charge phone gone dead now avis rental car system informed drive terminal this avis agent informs oh yes uber picks follow instructions uber gave take shuttle terminal summon ride pickup site here hurtful thing now wrong while looking drive lyft get call uber driver outside way exchange that lie break within minute placing ride got confirmation four minutes then get text flat tire will please cancel replied yes now old buffalo born yesterday being end seventh decade life grown small town south alabama smell rat stinks hell oh well boot see cancellation fee now say taken card finally young fool callback number screenshot quite smart enough respond auto text sent number listed got reply smell stinking rat smell hell by way one free text message numbers choose born came site since write speak uber soon life fool wrong think you tell get uber since trip never made write review again get five dollars credited back account old buffalo coon mean coon that smiling way,1.0,0
i used many times uber rides usa visited delhi india two weeks ago selected card payment method reached destination driver requested cash payment thought maybe credit card working paid cash later found credit card also charged when requested refund uber give excuses automated reply like fault given cash driver what supposed driver insisting pay cash completion ride at time way confirm uber office paying uber sent automated emails saying refund option exact issue so no more uber,1.0,0
it unfortunate know uber allows drivers rate clients my rating uber recent trip town used uber rating dropped kind friendly driver engaged conversation started also sent additional tip post trip longer ride uber leave driver may unhappy job bad day expecting cash tip rate client passenger treat people kindness respect driver ratings always good excellent you lost loyal customer,2.0,0
do not accept ride with uber driver edgar in silver toyota sienna van me husband six year old daughter requested uber take us back sanford international airport wednesday october disney art animation resort we great experience trip resort wednesday prior mike drove grey lexus that fare totaled tipped that said requested another uber trip returning sanford airport expected fare fare provided accepted later got email stating edgar adjusted fare xl due amount people rode three total the fare doubled submit several disputes get corrected still pay more agreed rate very unhappy with my experience and will never use uber again would highly suggest finding an alternative such as lyft,1.0,0
i purchased dollar uber gift card cvs after downloading uber app adding gift card android phone get error message payment error trying contact uber days getting nothing automated response called customer service help after useless message nerve send email issue resolved dollars even went facebook attempting get resolution automated response hope these frauds go out of business for stealing dollars from me no company big fall regret ever considering using uber lesson learned,1.0,0
we used uber times week orlando vacation instead renting car good results except last trip hotel airport the initial estimated cost ended taking minutes at airport shocked paid receipt showed distance miles trip time minutes map route different one taken we contacted uber promptly refunded extra cost very bizarre hope isolated incident uber investigates if fare much higher expected may noticed,4.0,1
i was loyal uber customer past especially lost car used uber daily basis coming work well today needed quick ride get quick bite husband using car decided use heard jacked prices never imagined pay drive yes bill that is ridiculous never use company they ripping people point,1.0,0
myself daughter travelled we checked uber kompally gachhibowli amount shown when driver dropped us shown amount correct verified receipt showing amount plus wait time total cash receipt come how possible it possible driver continues previous trip how total become please explain travelled daughter hence paid prolonged discussion use customer care spite contacting so tell nonsense going another incident happened came newspaper tv also one lady traveling hyderabad delhi gone hyderabad airport driver misbehaved made complaint delhi airport police station contacted commissioner police station afterwards driver act immediately aspect give explanation going file suit can refund time money wasted or else please pay compensation lot time wasted harassment customer care driver we cash receipt scan attached want totally worst services uber no opt hence problems coming regards company please respond else matter go level,1.0,0
alexandria va october charged waiting fee even though standing precisely gps location requested ride front home uber driver pulled the uber driver wait even one minute in fact waited uber driver show manhattan ny october charged waiting fee even though standing precisely gps location requested ride uber driver picked the uber driver wait even one minute in fact waited uber driver show ny october charged waiting fee even though standing precisely gps location requested ride uber driver picked the uber driver wait even one minute in fact waited uber driver show eisenhower ave metro station alexandria va october charged waiting fee even though standing precisely gps location requested ride uber driver picked the uber driver wait even one minute in fact waited uber driver show the waiting fee pure simple,2.0,0
on pm there no charge ride despite using gps driver tried take closed entrance brooklyn battery tunnel detour back original entrance once manhattan and blocks theater destination took another wrong turn ended new jersey by time got back manhattan already past starting time play going as matter fact already minutes tickets cost ordered uber car approx pm approx arrival ring we arrived close expect uber charge ride pay tickets play ruined this worst ever experience uber spent two weeks trying get someone call their message keeps saying team working taken ubers various cities worst experience cost lot money so much loyal customer uber read please call,1.0,0
i requested ride residence publix grocery store tip when finished shopping found phone pocket upon exiting driver outside phone dropped car returned grateful return home tip different driver checked bank account got home charged total registered concern app there customer service phone number sent message charged returning phone still discrepancy replied concerned totally dismissed message said complaint resolved terrible service no uber,1.0,0
i selected card payment method reached destination driver requested cash payment obliged since uber refund option circumstances requested refund give excuses like fault checking payment method etc if case refund option exact issue this second time uber done reason lodging complaint,1.0,0
uber support sends responses questions escalation path seem read issue multiple agents responding ticket repeat issue endlessly nobody taking accountability ticket beginning end they close tickets mark resolved agent increase ticket count worst support department ever implement rate support agent get metrics bad support,1.0,0
while wonderful able get driver tap finger much behind ease process driver partner uber likes call us drove uber approximately years without incident however support throughout three years nothing ever experienced it predominantly offshore app driven you speak anyone support messages solutions canned templates there humanity outside box incidents recently incident freeway rider car motorcycle lane splitting california deliberately punched drivers side mirror when reported uber deactivated cited unsafe driver again never many hours trying get one support representative paul via online actually broke template chain conversed without script found one live person area drove meet person his name victor victor acted understood situation agreed never deactivated communicating paul corporate rectify victor never called said uber deactivated account told decision final they terrible partners customer service truly care money we dime dozen band together continue maintain low level service,1.0,0
uber drivers sydney cities around world bad habit accepting jobs miles away sometimes still dropping passenger dozens cars close new job location one morning take home rushcutters bay work city least cars within location this uber driver still took job still city away uber needs something sort behaviour ruins customer experience make people angry customers want service take cab the solution simple offer function app users manage circular area around pickup zone beyond uber drivers excluded picking rides simple,1.0,0
my experience uber san francisco april uber still hiding shadow come front center pick lurk around corner wait long cancel ride this damaged game hide seek,2.0,0
it completely outrageous called uber pick airport bring back home they gave service home airport three days prior arrival town to surprise charge travel time distance paid the service distance location never request services never request services,1.0,0
i use uber time officially done unprofessional company guess crime able talk someone person uber uber letting drivers ripoff riders service dog last weeks charged twice cleaning fee without input the last one dirt spots seat already tired drivers making extra money whenever feel like done ripped,1.0,0
contact number driver absolutely professional booked cab showed minutes away again changed minutes away followed minutes away called guide he purposely kept phone speaker pretended like hear uber really disappointed horrible,1.0,0
the navigation system great india driver selection good issues bills rates promos customer care respond quickly,4.0,1
i pay go phone next impossible get app work still finding difficult change bank want money come there ph call customer service,1.0,0
uber rides always convenient plentiful prompt all rides good friendly drivers always impressed cleanliness newness vehicles ridden,5.0,1
uber atlanta horrible rideshare the driver confused person took ride requested picked aquarium go mary restaurant if look driver took client place uber charged ride never took believed driver rideshare used if account took ride never picked driver simply confused person rides scheduled picked one time unfortunately growth way account real problem washington able get refunded,1.0,0
i positive experience uber company contact need fast service when mattered always time thankful,5.0,1
i ordered uber seattle getting cruise ship needed go city contacted driver never arrived contacted another driver wanted walk mile subway my last encounter driver wanted charge short ride,1.0,0
i used uber regularly years ago driver got accident way pick hop train the next time driver came pick smell alcohol breath hopped train the last straw driver late cited causing accident house minutes late never used now use taxis whose drivers licensed bonded insured,1.0,0
found california emergency trip without transportation stranger town called taxi mile trip hospital cost way afford long paying food lodging called uber less half cost drivers always prompt courteous helpful recommending food shopping necessities asked got mini sightseeing tour every ride explained surrounding area loved thank uber,5.0,1
i avid uber rider on ordered uber pool around my fare the driver picked location on way dropoff driver picked another passenger dropped passenger he proceeded dropoff ended ride mistake the driver load dropoff address it got car realized fare duplicated sent emails uber they customer relations email they refund money on october used service this time fare this fare obviously deducted visa card also statement on app uber claiming outstanding payment paid them need help,1.0,0
uber charged wait time outside waiting driver pull today watched driver pull got car even texted driver location beforehand confusion then look online receipt see charge this third time uber done think scam rated driver really low change someone verifies drivers responsible ca get anybody phone uber customer service atrocious ca keep using service tries scam every opportunity,1.0,0
i limited really optimal experiences use service occasionally like three times last two years nice cars good people short wait low prices,5.0,1
used uber times miami january twice drivers good one little lost one find butt hands,3.0,1
i uber driver short time passengers said positive things rides the company checks riders allowed use uber it also background check drivers they send driving directions pickup passengers also destination then pay week,5.0,1
love uber first time user impressed reasonable price efficient service the driver nice helpful given five star go certain station catch ride curbside baggage claim area,5.0,1
in fairness play fair yes fairness important many us their id sketchy car safety checks pay taxes fees taxis,1.0,0
my car repair shop needed ride home work used uber app driver within minutes professional her name joke said use services great experience,5.0,1
i order uber pick family find every time phone higher charges other phones charge around pool ride phone every time higher charge usually dollar something higher sometimes even,1.0,0
a couple years back family went trip washington state we went one water parks we loaded motor home went the trip ended total bust weather water park trying find accommodation us motor home not another vehicle uber came several times each time uber people great more less saved trip,4.0,1
we occasion use uber first time washington last fall the service convenient dependable economical easy use the service friendly time drivers courteous good experience,4.0,1
my son daughter recently went concert barclays center brooklyn new york for convenience son ordered uber the quoted fare he charged after concert requested another uber home new jersey he quoted cost when left car final cost ride suppose next day received fraud email bank stating charges pending account he quickly called bank dispute charges contacted uber email also dispute charges he later charged trip he received explanation overcharge price uber their accounting poor dispute issues via email we used services states problems we never use services,1.0,0
uber suddenly blocked account without giving justification even customer care giving proper reason requested reason ca even give this ethical block without reason,1.0,0
i uber app installed phone uber drivers easy schedule payment made online never need worry cash my wait typically minutes able see car route along make license plate numbers sent friend text anything ever happen fares less traditional cabs cars clean well maintained love uber,5.0,1
new user tried book future pickup thought realized dispatched driver immediately discovered cancelled they charged fee disputed poor app information there phone number discuss customer relations never use company,1.0,0
the uber driver cancelled trip without consulting waiting driver pick while waiting received email trip cancelled charged struggled get hold solve problem everything online managed submit complaint online they took two hours come back mr told must check reverse money back account true they reverse amount charged trip cancellation fees sent mr email told reimbursed cancellation fees he replied attitude bold driver must get paid cancelled trip time attitude want us the matter resolved like leave keep quiet replied told mr take matter make alternative arrangements the driver cancelled trip charged cancellation fee fair also told attitude send email bold disappointed disturbed actually make use uber nearly every week sometimes twice three times per week shocked happened tonight kind attitude received if fault understand attitude behaviour kind regards,1.0,0
uber customer support via email beyond words the horrible worthless support group ever seen these people read cases subsequent replies bizarre repeat previous cs rep reply you never support rep even case accountability structure it quite unbelievable levels bad at least writer dispute credit card charge but driver uber cheat money get away victim,1.0,0
uber came home faster pick driver courteous wait minutes without charge the driver use precaution respect speed limit he good education he known lot world history compare total price save like regular taxi expensive recommend uber peace mind,5.0,1
i noticed googled uber giving free rides new customers downloaded app attempted add payment method disabled therefore receive money prepaid government debit card the card issued bank america government united states uber allow form payment allow use paypal account attached said debit card find extremely prejudicial towards disabled sect many us drive even afford car making ride sharing necessity spoken uber drivers find map app incorrect quite often getting lost making late they also find politics company deplorable lyft hand take government united states issued bank america debit card forego old free ride bait switch offered uber ride lyft ride share company never problem whose drivers friendly time ask directions company understands prepaid card means money guaranteed perhaps london right idea,1.0,0
i four trip distances four different fares uber charged fare showed phone tried lot contact resolve problem end said days solve problem there phone number contact upset charged credit card never use service shame uber,1.0,0
i use uber daily commute back forth work the drivers reliable deal cash transactions anymore the last time used cab driver ripped thank god uber,5.0,1
in general uber great app easy use convenient when becomes great app surge prices feature the ride costs ridiculous amount agree charge high demand limit like but often times much makes regular customers like resentful,4.0,1
i used uber many times ca md the app bit user friendly though with exception one drivers friendly driven carefully one time issue billing customer service handled problem immediately satisfaction definitely recommend uber,5.0,1
uber done great job provide us alternative transportation people want use bus taxis it provides security privacy customers,5.0,1
we used uber nyc recently first experience service almost drivers three days prompt courteous treated us respect envy guys job certainly appreciated,4.0,1
this convenient inexpensive used friends make trip town celebrate birthday it awesome fast service going returning,5.0,1
earlier year attempted apply driver due poor knowledge lack direct communication provided uber unable complete hiring process this company readily available personnel assist require immediate assistance they simply direct text attend upcoming uber meeting city questions they also collect maintain personal driving records personal identifiable information documents individuals unable meet requirements such information purged systems kept file,2.0,0
i wonder thoroughly company background check prospective drivers really my concern comes reports news drivers mental otherwise criminal behavior,3.0,1
we used uber first time attend wedding reception portland loved the ease using awesome the people picked us professional clean friendly,5.0,1
i pleased uber they may project charges one credit cards tried refuse remove probably removed later credit card company also one drivers ran wife broke back three places,3.0,1
we started using uber past year las vegas nevada hotel staff member helped us download app use the drivers dependable prompt courteous the cars much cleaner cabs rates much lower sorry hear scandals recently besieged company hoping ceo decision take leave absence help company reform improve name unfortunately uber allowed operate area otherwise husband use often,5.0,1
i booked uber xl hotel san francisco international airport pickup the quoted fare our hotel offered take us per person opted take uber personal service efficiency we excellent driver vehicle arrived airport discovered uber charged the worst part uber make easy book trip make difficult contact regarding surge pricing effect given estimate new price rather surprising price twice originally quoted they lost customer second bad experience the last one philadelphia two drivers cancel left us hanging airport third driver show construction pickup truck full tools construction material we maintained rating issues drivers regarding uber rating uber customer service completely rely solely website answer questions in day age completely unacceptable,1.0,0
uber drivers dealt always professional safe drivers pleasure deal their cars always clean mostly newer models for part drivers get short period time however occasionally might get driver suddenly realizes want take call suddenly see map going different direction that frustrating waiting pick luckily rarely happened overall uber good,5.0,1
uber arrived pick within minutes called clean comfortable vehicles good music courteous drivers safe driving habits during rush hour area familiar driver willing divert gps directions go way told avoid traffic but one driver little less accommodating dropped luggage carry across street destination,4.0,1
uber convenient always time within five minutes stated time always knew far away recommend service anyone needs lift,5.0,1
we left stranded rural framingham ma dark way hotel my colleague disabled must use cane the evening memorable many reasons sorry say probably remain memorable actions the problem started driver showed hotel hotel sheraton framingham early saturday evening september we dinner reservations evening historic inn us eagerly looking forward booked ride arrive minutes pm when car arrived early texted porte cochere sir emphasis added ride carefully responded noted early we ready went outside spoke directly asked like wait invalided friend simply leave he preferred latter fine requested uber ride watched smartphone two next uber cars came view uber driver shows get the car drives yards receives text uber saying ride cancelled okay something must admittedly know enough computers dangerous so go back cellphone another ride it point received error message point credit card american express declined what called american express told uber declined payment uber declined payment why that question yet fully dinner requested ride back sheraton framingham get error message payment has been declined we sitting dark rural framingham massachusetts colleague cane wondering world going make back hotel sheraton we looking forward genealogy conference going historic inn terribly sorry say experience marred treatment uber shall uninstall app never use uber,1.0,0
arrived lax hours ahead schedule due change plans pickup available my daughter suggested try uber comparing fare going home black shiny suburban picked us less minutes the van interior clean driver he pleasant talk drove us home safely it pleasant experience dirty taxis smelly cab drivers,5.0,1
using uber pleasant surprise love fact available short notice the prices much affordable taxi cabs using prior uber fare payment via credit card great they offer deliver good service felt safe everything already system need pull anything also tried uber driver several months it fun one incident caused concern calling uber confirming ride between pm close price surge time switched several different driver confirmations caused wait night finally called cab,4.0,1
i live small town times one available pick uber great large metropolitan areas drivers polite punctual noticed ride state different amount however dropped price increased there customer service number understand even drivers main number contact uber corporate that serious issue every company human speak concerns,4.0,1
i used uber times once driver got lost causing miss bus costing extra fare the times ok believe way overpriced sorry fan,3.0,1
i used uber couple medical appointments the drivers prompt friendly happier the cars spotless lots floor space the rides smooth cars nice important back issues highly recommend uber anyone everyone,5.0,1
the service convenient phone call came location the drivers always time courteous helpful their fee usually less commercial cab fares vehicles clean efficient,4.0,1
it really great thing they incentives discount rides build lots rides give references business but safe great concept,4.0,1
i organization financially assisting seniors transportation choices use uber via care home health our friends outreach pay app fees charge rides vetted seniors via city irvine certain seniors access phone connect apps also meet criteria use transportation modes support financially using service trial basis contracts so far good,4.0,1
quick efficient service clean cars polite staff sets standard local cab services aspire all half price,5.0,1
i sure reach uber unique question example airport pickups gated community pickups car seat issues opt use instances,5.0,1
when ann arbor uber driver polite helpful chicago drivers did come car speak unless spoke except ask also driver especially courteous helpful this first encounter using uber,4.0,1
i use uber go pittsburgh daughter wants go shopping want walk she lives stanton heights store butler st lawrenceville feel safe taking uber,5.0,1
drivers accept never show this happened times riding uber weeks uber made late work say coming never show wo cancel ride end company charges card ride show cancellation fee,1.0,0
used uber great experience great concept getting around without great expense thought making extra money driver rules personal safety overall good business,5.0,1
i waited several drivers unfamiliar neighborhood describe location adequately when driver finally showed hearing impaired difficulty making understood make airport time esp flight delayed he drove quite fast taking shortcuts made little concerned safety,4.0,1
they always prompt knowledgeable courteous professional they ideal town plan use often,5.0,1
my child girl need go school early morning request uber taxi cleverly went destination pick family call i reply in front building said put wrong address put driver say nothing coming trying call back automate machine say call account phone number driver charge nothing well babies late school decide request another car map said minutes well thought maybe car make the driver cancel literately front building right way business treat customer and late one school college good job uber,1.0,0
uber much better urban areas car local knows route burn less gas need park gives us explanation town joy,5.0,1
i used uber many times good experiences time like convenience automatic payment drivers great well,4.0,1
driver prompt friendly found drivers rate passengers alert drivers potentially aggressive riders passengers rate drivers becomes company knowledge,5.0,1
i used uber stay las vegas nevada good experience taken directly destination arrived right time uber driver friendly lady really enjoyed laughing talking trip,4.0,1
i used uber orlando nyc the use current technology helps obtain ground transportation fast exception rainstorm in nyc challenges obtaining transportation,4.0,1
my first experience uber taken seattle airport the vehicle really clean driver courteous safe driver professional,5.0,1
i like uber uber used personal driving tool type driver for one use personal source transportation help public another public transportation help satisfy need public it sound like lot conflicting areas going work progress kinda get back,2.0,0
uber lgb airport june instead she took long way got lost freeway backtrack,4.0,1
originally wonderful less expensive convenient alternative cabs become awkward expensive popularity grown,4.0,1
i terrible experience uber pool ordered first time yesterday route taken many times uberx my phone older uber app allow see fare requesting uber pool ride however taken ride many times uberx cost never figured since uber pool claims cheaper uberx shared ride fine boy wrong ordered pool waited estimated time see car received phone call either finally noticed car half block past standing went car told get already cancelled charged cancellation ordered location minute wait time goes car suddenly app switches car arriving set destination so driver cancelled no phone call never saw car yet another cancellation fee about minutes later get text driver one word waiting but third uber pool heading home respond get automated response uber after almost two hours usually minute ride two passengers get home check receipt what usually uberx ride uber pool ride stunned so email uber demand refund cancellation fees justify uber pool ride double uberx ride all get form responses rate they claim surge charges they try claim issue resolved persist suddenly see additional charge credit card ask additional charge no response only numerous emails tell quoted rate trip uber driver cancelled remove so justify one trip another trip ordered five minutes later route persist offer give credit uber pool why accept uber pool credit app show price upfront risk charged double uberx rate so finally told willing pay usual uberx rate expect refund charges still keep getting standard responses plan filing dispute credit card absolutely outraged ridiculous pool price previous canceling incredible lack customer service part uber requested contact information manager numerous emails never provided information at point taking business elsewhere hear lyft much better,1.0,0
i absolutely love uber they convenient quick part safe use uber every day issues traumatic as point know without uber rely go everywhere case needing go event going packed parking horrible uber they drop close event worry paying high prices parking spot overall happy uber,4.0,1
i always found uber reliable professional nationwide they choice transportation travel business pleasure,5.0,1
pros really easy use fast arrival time car cons background check doubtful sometimes car description accurate,4.0,1
my driver personable made feel safe it good come across patriot rather grunts groans one usually encounters car service drivers,5.0,1
the driver professional polite easy talk understand he also nicely dressed along helpful points interest might like plus took good care vehicle kept clean because glad try uber needed,5.0,1
we want drive san francisco parking hotel we used uber times found response times fast drivers courteous careful obey laws we knew higher prices rush times surprised higher reasonable charge one time rode pm we use uber trips unfamiliar cities,4.0,1
new driver hours online trying contact uber literally impossible sent delivery message lasted approx second disappeared went first call unable slide commence ride when slide virtually destination being unable contact uber explain anything total waste,1.0,0
uber great service there places privilege buses even taxi ride it great citizens need get doctor appointment uber also provided lot people jobs,5.0,1
i used uber first time washington dc area several months ago my son lives showed use app within minutes ride arrived safely back location waiting public transit hour transport time the driver professional nice,5.0,1
i hear uber friends used they say thing company ease getting service hours day price better taxi,4.0,1
i enjoy cheap cost feel saddened negative impact taxi drivers far better qualifications drive people around so many uber drivers know area drive safe drivers often obeying basic driving rules,4.0,1
i friend uber account software phone requests used uber twice maybe three times they fairly short rides went well the drivers friendly cars driving newish clean,5.0,1
for solo travelers best cheapest safest way go the savings vs cab tremendous used uber philadelphia parking garage dinner cruise outdoor festival even midnight pick go uber stay safe,5.0,1
i ordered uber today appt doc at first told walk two blocks meet driver convenience waited around minutes kept tracking driver car showed after thoroughly checking entire block found across street quickly ran informed ride cancelled order car assigned another driver one five minutes away that driver canceled five minutes ordered another one never showed ended walking mile appt never use uber they absolutely reliability customer service try lyft future,1.0,0
i guests us total ordered uber xl advertised seat people when pulled order choice uber uber xl knowing people driver ordered uber xl when car arrived small suv passenger vehicle driver told us squeeze emailed uber numerous times issue luck getting anything automated response saying issue resolved order uber xl larger groups get uber xl requested refund price difference success it necessarily principle and also illegal drive people squeezed back seat it embarrassing town guests witnesses verify size vehicle,1.0,0
used service week vacation downtown chicago drivers always available service quite prompt the drivers vehicles clean concerned safety good driving practices even pickup drop usa women soccer game soldiers field accomplished satisfaction even though area crowded spectators the prices reasonable very satisfied service,5.0,1
we love uber we never wait three minutes ride the cars always clean every driver courteous professional speakers audible english we yet meet one enjoy working uber,5.0,1
i used uber services going family get together the driver time polite good everyday conversation children,4.0,1
i like uber app know cars proximity location driver car driving arrive pick love tip get car driver already knows want go get soon arrive immediately get opportunity rate driver the service great,5.0,1
there error billing causing believe account hacked cancelled card asked cc company reverse charge this several months ago to date get response uber confirm much actually owe account frozen,2.0,0
first time used uber great the second time got lost trying find public high school gave they texted cancel did even call try work anything send another driver wo using,3.0,1
uber great transportation medical appointments the call center always prompt courteous the drivers past caring loyal customers they pleasant caring compassionate humorous well the thing ever bothered extensive wait time pickup appointments uber puts drivers opinion personally seen stress anxiety drivers,4.0,1
not real frequent user every experience close time good drivers nice conversation initiate safe destination problem end ride,5.0,1
it economic convenient service like convenience app able track driver never situations felt unsafe threatening,5.0,1
